1876,1102
1877,1036
1878,1036
1879,938
1880,856
1881,945
1882,964
1883,898
1884,907
1885,920
1886,899
1887,925
1888,841
1889,865
1890,880
1891,877
1892,881
1893,903
1894,932
1895,897
1896,1057
1897,1011
1898,1018
1899,1091
1900,1025
1901,1027
1902,1105
1903,1182
1904,1243
1905,1206
1906,1343
1907,1494
1908,1551
1909,1534
1910,1527
1911,1623
1912,1514
1913,1616
1914,1455
1915,1472
1916,1562
1917,1640
1918,1699
1919,1977
1920,2241
1921,1979
1922,2108
1923,2005
1924,2119
1925,2223
1926,2213
1927,2500
1928,2545
1929,2733
1930,2723
1931,2857
1932,3041
1933,2992
1934,3034
1935,3015
1936,3219
1937,3379
1938,3390
1939,2996
1940,3093
1941,3066
1942,3190
1943,3211
1944,3138
1945,3726
1946,4298
1947,4280
1948,4292
1949,4111
1950,4241
1951,4295
1952,4188
1953,4406
1954,4437
1955,4416
1956,4293
1957,4545
1958,4400
1959,4683
1960,4656
1961,4737
1962,4724
1963,4711
1964,4865
1965,4977
1966,4944
1967,5198
1968,5599
1969,5982
1970,6406
1971,7036
1972,7651
1973,8030
1974,8188
1975,8917
1976,9583
1977,10474
1978,10497
1979,10394
1980,10910
1981,11131
1982,11589
1983,11710
1984,11219
1985,11416
1986,11395
1987,11553
1988,12731
1989,12721
1990,13184
1991,13628
1992,14530
1993,15054
1994,15634
1995,15703
1996,16172
1997,17073
1998,17868
1999,20809
2000,10511
2001,15778
2002,16363
2003,16799
2004,17949
2005,21332
2006,20981
2007,19882
2008,19613
2009,19321
2010,22081
2011,17566
2012,17550
2013,17119
2014,16737
2015,16960
2016,17028
